STATE_VAR1,STATE_VAR2,INITIAL_ACTION,REWARD,STATE_VAR1,STATE_VAR2,INITIAL_ACTION,REWARD
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,2,0,2,1,2,0
2,1,0,-10,2,1,0,-10
1,1,1,1,1,1,1,1
2,1,0,-10,2,1,0,-10
1,1,1,1,1,1,1,1
2,1,0,-10,2,1,0,-10
1,1,1,1,1,1,1,1
2,1,1,1,2,1,1,1
3,1,0,-10,3,1,0,-10
2,1,2,-10,2,1,2,-10
2,1,0,1,2,1,0,1
1,1,1,-10,1,1,1,-10
2,1,1,1,2,1,1,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,3,1,4,1,3,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,1,0,4,2,1,0
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,2,1,3,2,2,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,2,0,3,1,2,0
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,1,1,3,1,1,1
4,1,0,1,4,1,0,1
3,1,3,1,3,1,3,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,1,1,3,2,1,1
4,2,0,1,4,2,0,1
3,2,0,100,3,2,0,100
